,ANN,BAYESIAN,SDG
,"0,255","0,259","0,248"
,"0,246","0,063","0,248"
,"0,246","0,246","0,208"
,"0,246","0,247","0,218"
,"0,050","0,240","0,214"
,"0,242","0,259","0,213"
,"0,233","0,247","0,216"
,"0,245","0,234","0,206"
,"0,209","0,251","0,205"
,"0,237","0,250","0,216"
,"0,237","0,255","0,208"
,"0,222","0,228","0,207"
,"0,238","0,233","0,202"
,"0,226","0,255","0,195"
,"0,234","0,247","0,201"
,"0,234","0,255","0,203"
,"0,223","0,243","0,201"
,"0,227","0,237","0,167"
,"0,231","0,251","0,165"
,"0,223","0,244","0,168"
,"0,218","0,249","0,166"
,"0,212","0,252","0,166"
,"0,212","0,241","0,149"
,"0,208","0,246","0,150"
,"0,212","0,247","0,157"
,"0,195","0,245","0,150"
,"0,189","0,245","0,144"
,"0,197","0,246","0,128"
,"0,189","0,242","0,122"
,"0,212","0,237","0,116"
,"0,170","0,222","0,110"
,"0,183","0,229","0,107"
,"0,215","0,209","0,043"
,"0,199","0,207","0,038"
,"0,199","0,178","0,021"
,"0,211","0,174","0,048"
,"0,183","0,172","0,074"
,"0,171","0,157","-0,042"
,"0,163","0,140","-0,051"
,"0,187","0,139","-0,058"
,"0,187","0,119","-0,066"
,"0,192","0,128","-0,074"
,"0,212","0,090","-0,116"
,"0,196","0,070","-0,122"
,"0,200","0,118","-0,129"
,"0,196","0,189","-0,089"
,"0,201","0,153","-0,115"
,"0,201","0,145","-0,131"
,"0,189","0,159","-0,153"
,"0,140","0,188","-0,133"
,"0,104","0,175","-0,126"
,"0,148","0,175","-0,129"
,"0,103","0,190","-0,073"
,"0,099","0,172","-0,157"
,"0,150","0,155","-0,148"
,"0,166","0,168","-0,141"
,"0,020","0,179","-0,141"
,"0,024","0,151","-0,140"
,"0,116","0,121","-0,203"
,"0,112","0,147","-0,230"
,"0,104","0,072","-0,216"
,"0,183","0,166","-0,174"
,"0,170","0,092","-0,082"
,"0,162","0,130","-0,046"
,"0,158","0,178","-0,045"
,"0,174","0,167","-0,054"
,"0,158","0,140","-0,051"
,"0,162","0,169","0,066"
,"0,162","0,167","0,078"
,"0,162","0,150","0,073"
,"0,138","0,134","0,076"
,"0,156","0,139","0,072"
,"0,144","0,129","0,099"
,"0,140","0,100","0,085"
,"0,166","0,173","0,109"
,"0,114","0,143","0,104"
,"0,149","0,130","0,099"
,"0,157","0,167","0,069"
,"0,133","0,162","0,076"
,"0,161","0,166","0,092"
,"0,153","0,166","0,082"
,"0,115","0,149","0,091"
,"0,102","0,156","0,041"
,"0,126","0,151","-0,110"
,"0,116","0,153","0,044"
,"0,120","0,138","0,011"
,"0,115","0,141","0,030"
,"0,119","0,153","0,013"
,"0,087","0,120","-0,018"
,"0,149","0,106","-0,031"
,"0,135","0,111","-0,020"
,"0,077","0,130","-0,032"
,"0,104","0,143","-0,074"
,"0,127","0,112","-0,060"
,"0,105","0,116","-0,095"
,"0,113","0,109","-0,138"
,"0,086","0,100","-0,125"
,"0,106","0,078","-0,027"
,"0,098","0,112","-0,031"
,"-0,034","0,112","-0,029"
,"-0,018","0,120","-0,043"
,"-0,012","0,140","-0,041"
,"0,116","0,101","0,014"
,"0,097","0,089","0,028"
,"0,101","0,049","0,071"
,"0,092","0,082","0,012"
,"0,115","0,090","0,064"
,"0,123","0,095","0,058"
,"0,107","0,061","0,058"
,"0,119","0,099","0,047"
,"0,111","0,103","0,043"
,"0,099","0,100","0,039"
,"0,123","0,090","0,010"
,"0,101","0,092","-0,002"
,"0,085","0,084","0,015"
,"0,087","0,069","0,018"
,"0,073","0,092","0,006"
,"0,089","0,090","0,020"
,"0,101","0,099","0,017"
,"0,117","0,100","0,044"
,"0,065","0,095","-0,008"
,"0,121","0,097","0,051"
,"0,129","0,091","-0,001"
,"0,113","0,087","-0,006"
,"0,121","0,097","0,011"
,"0,117","0,096","0,004"
,"0,097","0,080","0,003"
,"0,096","0,065","0,009"
,"0,104","0,076","0,000"
,"0,084","0,079","0,003"
,"0,083","0,093","-0,003"
,"0,054","0,086","0,003"
,"0,080","0,071","-0,001"
,"0,075","0,085","-0,007"
,"0,122","0,082","0,038"
,"0,026","0,083","-0,019"
,"0,093","0,082","0,027"
,"0,121","0,072","-0,030"
,"0,125","0,059","0,009"
,"0,108","0,062","0,014"
,"0,102","0,057","0,006"
,"0,054","0,068","0,002"
,"0,082","-0,062","0,015"
,"0,040","0,095","0,006"
,"0,052","0,063","0,000"
,"0,075","-0,023","0,001"
,"0,072","-0,038","-0,008"
,"0,076","0,067","0,011"
,"0,072","0,060","0,007"
,"0,122","0,051","0,007"
,"0,022","0,073","0,005"
,"0,078","0,084","0,008"
,"0,117","0,063","0,001"
,"0,089","0,059","-0,018"
,"0,075","0,061","-0,022"
,"0,079","0,062","-0,009"
,"0,037","0,065","-0,039"
,"0,065","0,041","-0,034"
,"0,089","0,050","-0,043"
,"0,030","0,065","-0,039"
,"0,062","0,059","-0,040"
,"0,076","0,042","-0,042"
,"0,072","0,044","-0,034"
,"0,066","0,055","-0,056"
,"0,122","0,058","0,020"
,"-0,014","0,052","-0,013"
,"0,077","0,051","-0,023"
,"0,100","0,028","-0,009"
,"0,099","0,062","0,001"
,"0,103","0,045","0,001"
,"0,043","0,050","-0,011"
,"0,043","0,046","-0,028"
,"0,031","0,049","-0,015"
,"0,044","0,033","-0,008"
,"0,048","0,054","-0,027"
,"0,024","0,057","-0,029"
,"0,045","0,055","-0,030"
,"0,043","0,033","-0,031"
,"0,055","0,050","-0,035"
,"0,123","0,043","0,007"
,"-0,017","0,039","-0,005"
,"0,056","0,033","-0,027"
,"0,107","0,037","-0,064"
,"0,094","0,056","-0,004"
,"0,050","0,037","-0,009"
,"0,082","0,041","-0,013"
,"0,049","0,033","-0,027"
,"0,037","0,044","-0,023"
,"0,063","0,050","-0,052"
,"0,054","0,035","-0,040"
,"0,034","0,048","-0,035"
,"0,071","0,048","-0,039"
,"0,057","0,017","-0,024"
,"0,061","0,042","-0,030"
,"0,105","0,044","0,117"
,"-0,015","0,041","0,021"
,"0,081","0,046","0,038"
,"0,108","0,036","0,030"
,"0,072","0,039","0,043"
,"0,063","0,025","0,033"
,"0,099","0,023","0,046"
,"0,070","0,020","0,037"
,"0,065","0,020","-0,069"
,"0,065","0,030","-0,067"
,"0,066","0,027","-0,097"
,"0,070","0,007","-0,068"
,"0,070","0,027","-0,066"
,"0,056","0,034","-0,081"
,"0,064","0,007","-0,085"
,"0,113","0,043","-0,171"
,"-0,007","0,035","-0,211"
,"0,108","0,004","-0,226"
,"0,084","0,014","-0,260"
,"0,087","0,033","-0,260"
,"0,094","0,011","-0,266"
,"0,110","0,019","-0,265"
,"0,078","0,016","-0,234"
,"0,102","0,026","-0,084"
,"0,084","0,026","-0,083"
,"0,028","0,014","-0,082"
,"0,061","-0,031","-0,076"
,"0,056","-0,024","-0,083"
,"0,072","-0,014","-0,044"
,"0,067","-0,020","-0,060"
,"0,123","-0,040","-0,023"
,"0,027","0,013","-0,039"
,"0,104","0,036","-0,052"
,"0,120","-0,009","-0,041"
,"0,116","-0,028","-0,065"
,"0,106","-0,013","-0,051"
,"0,085","-0,032","-0,071"
,"0,105","-0,017","-0,069"
,"0,109","-0,029","-0,073"
,"0,105","-0,033","-0,082"
,"0,083","-0,022","-0,081"
,"0,091","-0,016","-0,110"
,"0,083","-0,031","-0,102"
,"0,075","-0,037","-0,103"
,"0,071","-0,044","-0,102"
,"0,122","-0,017","0,099"
,"0,126","-0,005","0,021"
,"0,091","0,006","0,037"
,"0,131","-0,021","0,075"
,"0,131","-0,050","0,078"
,"0,123","-0,024","0,072"
,"0,131","-0,047","0,076"
,"0,121","-0,045","0,079"
,"0,107","-0,044","0,073"
,"0,103","-0,060","0,062"
,"0,115","-0,065","0,060"
,"0,103","-0,073","0,058"
,"0,104","-0,088","0,048"
,"0,060","-0,073","0,070"
,"0,089","-0,073","0,060"
,"0,150","-0,092","0,059"
,"0,064","-0,062","0,058"
,"0,105","-0,088","0,085"
,"0,049","-0,107","0,085"
,"0,117","-0,108","0,093"
,"0,121","-0,104","0,086"
,"0,125","-0,109","0,086"
,"0,119","-0,100","0,080"
,"0,131","-0,073","0,068"
,"0,118","-0,028","0,077"
,"0,122","0,012","0,072"
,"0,117","0,013","0,072"
,"0,121","0,013","0,066"
,"0,121","0,007","0,065"
,"0,111","0,008","0,063"
,"0,161","-0,002","0,085"
,"0,117","-0,004","0,092"
,"0,110","0,005","0,081"
,"0,156","0,004","0,089"
,"0,125","-0,022","0,090"
,"0,137","-0,022","0,099"
,"0,133","-0,013","0,100"
,"0,125","-0,009","0,100"
,"0,137","-0,053","0,093"
,"0,137","-0,026","0,083"
,"0,137","-0,054","0,086"
,"0,137","-0,062","0,086"
,"0,142","-0,039","0,086"
,"0,132","-0,083","0,084"
,"0,132","-0,022","0,080"
,"0,179","-0,051","0,166"
,"0,163","-0,041","0,130"
,"0,159","-0,039","0,135"
,"0,179","-0,149","0,150"
,"0,175","-0,145","0,135"
,"0,175","-0,086","0,128"
,"0,179","-0,079","0,133"
,"0,169","-0,073","0,141"
,"0,160","-0,064","0,141"
,"0,141","-0,055","0,146"
,"0,141","-0,063","0,145"
,"0,141","-0,068","0,145"
,"0,144","-0,074","0,145"
,"0,136","-0,069","0,150"
,"0,140","-0,081","0,146"
,"0,196","-0,092","0,157"
,"0,155","-0,096","0,161"
,"0,145","-0,104","0,160"
,"0,189","-0,096","0,162"
,"0,189","-0,094","0,160"
,"0,185","-0,096","0,153"
,"0,176","-0,096","0,149"
,"0,171","-0,086","0,151"
,"0,179","-0,046","0,149"
,"0,179","-0,053","0,146"
,"0,175","-0,057","0,150"
,"0,171","-0,056","0,152"
,"0,173","-0,061","0,152"
,"0,173","-0,065","0,156"
,"0,177","-0,056","0,152"
,"0,200","-0,079","0,184"
,"0,200","-0,132","0,134"
,"0,198","-0,240","0,178"
,"0,194","-0,242","0,160"
,"0,198","-0,238","0,169"
,"0,194","-0,242","0,156"
,"0,194","-0,133","0,151"
,"0,185","-0,108","0,158"
,"0,185","-0,105","0,099"
,"0,181","-0,105","0,132"
,"0,181","-0,099","0,145"
,"0,177","-0,054","0,133"
,"0,182","-0,066","0,131"
,"0,180","-0,063","0,128"
,"0,168","-0,067","0,098"
,"0,187","-0,077","0,112"
,"0,195","-0,136","0,123"
,"0,192","-0,055","0,121"
,"0,196","-0,148","0,148"
,"0,196","-0,143","0,144"
,"0,188","-0,139","0,146"
,"0,196","-0,076","0,148"
,"0,192","-0,071","0,149"
,"0,179","-0,080","0,149"
,"0,183","-0,081","0,151"
,"0,179","-0,080","0,150"
,"0,179","-0,082","0,148"
,"0,176","-0,083","0,142"
,"0,184","-0,077","0,137"
,"0,171","-0,079","0,137"
,"0,190","-0,071","0,145"
,"0,178","-0,064","0,143"
,"0,178","-0,066","0,148"
,"0,184","-0,107","0,150"
,"0,180","-0,108","0,150"
,"0,172","-0,107","0,145"
,"0,180","-0,112","0,149"
,"0,184","-0,096","0,144"
,"0,184","-0,126","-0,005"
,"0,174","-0,121","-0,004"
,"0,166","-0,133","-0,006"
,"0,162","-0,139","0,135"
,"0,173","-0,137","0,136"
,"0,173","-0,091","0,133"
,"0,173","-0,143","0,133"
,"0,170","-0,153","0,143"
,"0,182","-0,127","0,144"
,"0,185","-0,134","0,140"
,"0,181","-0,132","0,132"
,"0,181","-0,130","0,132"
,"0,175","-0,150","0,133"
,"0,171","-0,116","0,130"
,"0,167","-0,125","0,133"
,"0,175","-0,142","0,133"
,"0,175","-0,158","0,135"
,"0,167","-0,144","0,130"
,"0,171","-0,155","0,119"
,"0,170","-0,145","0,118"
,"0,166","-0,129","0,117"
,"0,162","-0,114","0,124"
,"0,184","-0,128","0,135"
,"0,180","-0,134","0,122"
,"0,161","-0,106","0,132"
,"0,165","-0,113","0,135"
,"0,153","-0,114","0,122"
,"0,165","-0,098","0,113"
,"0,165","-0,116","0,106"
,"0,168","-0,106","0,125"
,"0,160","-0,086","0,121"
,"0,164","-0,096","0,128"
,"0,168","-0,276","0,116"
,"0,168","-0,299","0,128"
,"0,150","-0,280","0,123"
,"0,128","-0,088","0,112"
,"0,131","-0,282","0,101"
,"0,164","-0,294","0,093"
,"0,164","-0,099","0,099"
,"0,159","-0,123","0,130"
,"0,171","-0,099","0,110"
,"0,167","-0,107","0,111"
,"0,167","-0,103","0,112"
,"0,163","-0,103","0,108"
,"-0,054","-0,127","0,109"
,"-0,038","-0,114","0,105"
,"-0,005","-0,107","0,115"
,"0,127","-0,101","0,108"
,"0,131","-0,139","0,085"
,"0,121","-0,101","0,078"
,"0,133","-0,112","0,074"
,"0,125","-0,092","0,077"
,"0,170","-0,152","0,107"
,"0,102","-0,092","0,078"
,"0,143","-0,100","0,104"
,"0,098","-0,079","0,080"
,"0,142","-0,083","0,094"
,"0,127","-0,068","0,092"
,"0,127","-0,084","0,090"
,"0,116","-0,069","0,099"
,"0,128","-0,064","0,089"
,"0,120","-0,063","0,074"
,"0,120","-0,086","0,070"
,"0,120","-0,081","0,085"
,"0,132","-0,074","0,077"
,"0,115","-0,100","0,060"
,"0,115","-0,082","0,057"
,"0,147","-0,086","0,079"
,"0,096","-0,085","0,054"
,"0,114","-0,115","0,074"
,"0,122","-0,094","0,055"
,"0,126","-0,091","0,054"
,"0,126","-0,163","0,039"
,"0,126","-0,145","0,034"
,"0,120","-0,172","0,047"
,"0,110","-0,195","0,045"
,"0,105","-0,172","0,037"
,"0,101","-0,153","0,048"
,"0,101","-0,182","0,047"
,"0,102","-0,141","0,042"
,"0,106","-0,112","0,064"
,"0,093","-0,122","0,068"
,"0,125","-0,116","0,046"
,"0,121","-0,125","0,047"
,"0,124","-0,120","0,036"
,"0,120","-0,139","0,035"
,"0,120","-0,105","0,015"
,"0,110","-0,131","0,006"
,"0,105","-0,124","0,012"
,"0,089","-0,126","0,004"
,"0,093","-0,158","0,008"
,"0,097","-0,154","0,011"
,"0,101","-0,191","0,012"
,"0,095","-0,217","0,009"
,"0,085","-0,216","-0,001"
,"0,085","-0,219","-0,002"
,"0,080","-0,203","-0,004"
,"0,099","-0,186","0,040"
,"0,059","-0,168","-0,003"
,"0,080","-0,158","0,050"
,"0,096","-0,153","-0,007"
,"0,098","-0,147","0,017"
,"0,082","-0,152","0,021"
,"0,090","-0,169","0,020"
,"0,073","-0,163","0,008"
,"0,059","-0,200","-0,005"
,"0,075","-0,212","0,003"
,"0,050","-0,201","-0,004"
,"0,041","-0,175","-0,004"
,"0,040","-0,184","-0,007"
,"0,034","-0,194","-0,061"
,"0,054","-0,164","0,012"
,"0,099","-0,209","0,050"
,"0,031","-0,181","-0,008"
,"0,063","-0,177","0,024"
,"0,093","-0,189","-0,009"
,"0,093","-0,162","0,017"
,"0,081","-0,181","0,007"
,"0,069","-0,190","0,003"
,"0,071","-0,179","0,009"
,"0,071","-0,161","0,003"
,"0,065","-0,175","-0,008"
,"0,052","-0,164","-0,014"
,"0,032","-0,166","-0,023"
,"0,048","-0,193","-0,009"
,"0,056","-0,156","-0,004"
,"0,048","-0,157","-0,001"
,"0,112","-0,161","0,027"
,"0,015","-0,149","0,011"
,"0,036","-0,170","0,005"
,"0,092","-0,146","0,006"
,"0,068","-0,165","-0,007"
,"0,080","-0,138","-0,005"
,"0,075","-0,142","-0,004"
,"0,036","-0,138","-0,013"
,"0,043","-0,132","-0,012"
,"0,031","-0,135","0,000"
,"0,038","-0,135","-0,007"
,"0,022","-0,141","-0,010"
,"0,053","-0,146","-0,017"
,"0,053","-0,129","-0,033"
,"0,036","-0,141","-0,048"
,"0,109","-0,133","-0,047"
,"0,012","-0,161","-0,052"
,"0,060","-0,131","-0,046"
,"0,094","-0,149","-0,056"
,"0,082","-0,138","-0,064"
,"0,094","-0,149","-0,070"
,"0,085","-0,141","-0,071"
,"0,063","-0,141","-0,070"
,"0,053","-0,142","-0,076"
,"0,032","-0,123","-0,092"
,"0,036","-0,123","-0,096"
,"0,034","-0,143","-0,096"
,"0,012","-0,130","-0,092"
,"0,032","-0,139","-0,108"
,"0,031","-0,136","-0,117"
,"0,092","-0,132","-0,010"
,"0,023","-0,129","-0,038"
,"0,037","-0,144","-0,025"
,"0,077","-0,133","-0,044"
,"0,045","-0,128","-0,043"
,"0,077","-0,144","-0,047"
,"0,040","-0,129","-0,046"
,"0,062","-0,173","-0,051"
,"0,052","-0,195","-0,041"
,"0,047","-0,197","-0,053"
,"-0,021","-0,197","-0,070"
,"0,033","-0,179","-0,067"
,"0,038","-0,204","-0,065"
,"0,030","-0,214","-0,060"
,"0,032","-0,213","-0,060"
,"0,086","-0,192","0,003"
,"0,014","-0,163","-0,040"
,"0,049","-0,173","-0,004"
,"0,076","-0,182","-0,037"
,"0,072","-0,178","-0,048"
,"0,052","-0,176","-0,027"
,"0,083","-0,166","-0,037"
,"0,061","-0,168","-0,054"
,"0,016","-0,170","-0,032"
,"0,042","-0,174","-0,038"
,"0,046","-0,179","-0,034"
,"0,033","-0,174","-0,179"
,"0,044","-0,160","-0,042"
,"0,060","-0,267","-0,198"
,"0,056","-0,173","-0,130"
,"0,116","-0,150","-0,092"
,"0,044","-0,161","-0,104"
,"0,055","-0,154","-0,113"
,"0,066","-0,123","-0,119"
,"0,070","-0,139","-0,132"
,"0,094","-0,133","-0,132"
,"0,086","-0,124","-0,136"
,"0,099","-0,133","-0,145"
,"0,089","-0,119","-0,148"
,"0,052","-0,122","-0,148"
,"0,042","-0,128","-0,154"
,"0,050","-0,113","-0,173"
,"0,057","-0,117","-0,173"
,"0,053","-0,141","-0,176"
,"0,069","-0,121","-0,180"
,"0,109","-0,138","-0,006"
,"0,013","-0,123","-0,063"
,"0,079","-0,134","-0,052"
,"0,062","-0,122","-0,054"
,"0,068","-0,134","-0,049"
,"0,084","-0,125","-0,056"
,"0,108","-0,131","-0,050"
,"0,099","-0,144","-0,059"
,"0,095","-0,113","-0,066"
,"0,090","-0,102","-0,067"
,"0,060","-0,132","-0,081"
,"0,063","-0,090","-0,067"
,"0,078","-0,083","-0,071"
,"0,069","-0,087","-0,085"
,"0,069","-0,081","-0,091"
,"0,133","-0,089","0,090"
,"0,053","-0,076","-0,010"
,"0,128","-0,076","0,077"
,"0,104","-0,081","0,019"
,"0,124","-0,117","0,062"
,"0,118","-0,050","0,048"
,"0,105","-0,050","0,045"
,"0,074","-0,061","0,044"
,"0,098","-0,066","0,061"
,"-0,090","-0,064","0,048"
,"0,038","-0,067","-0,043"
,"0,052","-0,062","0,020"
,"0,065","-0,046","0,050"
,"0,072","-0,064","0,034"
,"0,068","-0,065","0,036"
,"0,131","-0,115","0,057"
,"0,099","-0,188","-0,022"
,"0,132","-0,228","-0,019"
,"0,132","-0,099","0,058"
,"0,104","-4,691","0,047"
,"0,127","-0,190","0,032"
,"0,117","-0,139","0,031"
,"0,077","-0,113","0,031"
,"0,105","0,005","0,035"
,"0,089","0,034","0,035"
,"0,093","0,036","0,038"
,"0,099","0,040","0,036"
,"0,097","0,025","0,029"
,"0,000","0,144","0,034"
,"0,080","0,144","0,020"
,"0,143","0,121","0,151"
,"0,006","0,125","0,008"
,"0,128","0,132","0,088"
,"0,070","0,115","0,122"
,"0,110","0,131","0,125"
