,ANN,BAYESIAN,SDG
,"0,098","0,131","0,104"
,"0,126","0,122","0,117"
,"0,126","0,127","0,116"
,"0,138","0,141","0,120"
,"0,138","0,135","0,116"
,"0,117","0,133","0,120"
,"0,095","0,139","0,097"
,"0,101","0,152","0,119"
,"0,109","0,140","0,104"
,"0,113","0,156","0,088"
,"0,137","0,166","0,137"
,"0,085","0,149","0,115"
,"0,145","0,164","0,133"
,"0,145","0,146","0,125"
,"0,177","0,149","0,130"
,"0,147","0,172","0,122"
,"0,125","0,124","0,136"
,"0,118","0,146","0,132"
,"0,086","0,131","0,129"
,"0,118","0,121","0,129"
,"0,134","0,164","0,130"
,"0,122","0,169","0,138"
,"0,131","0,166","0,127"
,"0,111","0,150","0,131"
,"0,127","0,160","0,130"
,"0,170","0,164","0,119"
,"0,088","0,160","0,130"
,"0,126","0,152","0,126"
,"0,138","0,163","0,139"
,"0,174","0,165","0,137"
,"0,150","0,162","0,137"
,"0,166","0,159","0,123"
,"0,166","0,163","0,126"
,"0,158","0,170","0,140"
,"0,178","0,168","0,139"
,"0,168","0,166","0,123"
,"0,155","0,159","0,136"
,"0,148","0,163","0,133"
,"0,118","0,170","0,143"
,"0,106","0,169","0,138"
,"0,199","0,174","0,162"
,"0,055","0,155","0,158"
,"0,133","0,166","0,159"
,"0,184","0,175","0,156"
,"0,176","0,176","0,150"
,"0,164","0,174","0,148"
,"0,184","0,167","0,144"
,"0,188","0,158","0,135"
,"0,163","0,177","0,150"
,"0,167","0,166","0,148"
,"0,167","0,171","0,145"
,"0,167","0,182","0,155"
,"0,165","0,179","0,151"
,"0,165","0,189","0,136"
,"0,181","0,186","0,138"
,"0,196","0,182","0,173"
,"0,172","0,166","0,044"
,"0,199","0,171","0,190"
,"0,179","0,170","0,174"
,"0,187","0,179","0,165"
,"0,191","0,166","0,138"
,"0,181","0,177","0,078"
,"0,184","0,179","0,155"
,"0,176","0,178","0,147"
,"0,176","0,175","0,146"
,"0,172","0,178","0,153"
,"0,188","0,180","0,135"
,"0,184","0,178","0,108"
,"0,182","0,171","0,140"
,"0,170","0,169","0,121"
,"0,200","0,173","0,166"
,"0,086","0,174","0,041"
,"0,157","0,175","0,099"
,"0,181","0,174","0,153"
,"0,173","0,176","0,165"
,"0,181","0,176","0,151"
,"0,173","0,176","0,149"
,"0,174","0,175","0,119"
,"0,198","0,176","0,135"
,"0,174","0,174","0,135"
,"0,190","0,178","0,148"
,"0,180","0,179","0,148"
,"0,183","0,177","0,143"
,"0,163","0,188","0,173"
,"0,187","0,186","0,176"
,"0,217","0,190","0,205"
,"0,073","0,198","0,082"
,"0,205","0,199","0,207"
,"0,221","0,200","0,191"
,"0,229","0,195","0,197"
,"0,212","0,200","0,197"
,"0,190","0,200","0,195"
,"0,104","-0,200","0,196"
,"0,148","0,197","0,186"
,"0,188","0,200","0,187"
,"0,180","0,199","0,187"
,"0,184","0,197","0,186"
,"0,197","0,195","0,185"
,"0,201","0,198","0,181"
,"0,197","0,198","0,184"
,"0,225","0,190","0,175"
,"0,109","0,188","0,163"
,"0,219","0,187","0,169"
,"0,199","0,186","0,152"
,"0,211","0,182","0,176"
,"0,227","0,188","0,170"
,"0,211","0,184","0,171"
,"0,186","0,182","0,175"
,"0,198","0,180","0,175"
,"0,218","0,179","0,165"
,"0,180","0,180","0,171"
,"0,151","0,182","0,169"
,"0,145","0,181","0,147"
,"0,189","0,175","0,168"
,"0,153","0,177","0,163"
,"0,221","0,176","0,175"
,"0,093","0,178","0,159"
,"0,178","0,178","0,161"
,"0,190","0,173","0,146"
,"0,218","0,172","0,153"
,"0,222","0,172","0,160"
,"0,202","0,168","0,164"
,"0,201","0,174","0,149"
,"0,112","0,170","0,159"
,"0,187","0,161","0,165"
,"0,187","0,156","0,137"
,"0,167","0,152","0,147"
,"0,188","0,142","0,146"
,"0,180","0,121","0,154"
,"0,180","0,112","0,156"
,"0,191","0,103","0,140"
,"0,146","0,108","0,148"
,"0,170","0,114","0,150"
,"0,178","0,025","0,144"
,"0,166","0,030","0,142"
,"0,186","0,105","0,111"
,"0,186","0,102","0,090"
,"0,183","0,089","0,106"
,"0,187","0,158","0,129"
,"0,171","0,158","0,104"
,"0,183","0,163","0,107"
,"0,169","0,149","0,066"
,"0,177","0,167","0,106"
,"0,177","0,166","0,118"
,"0,173","0,149","0,125"
,"0,178","0,151","0,149"
,"0,154","0,104","0,015"
,"0,181","0,008","0,130"
,"0,161","0,139","0,089"
,"0,169","0,131","0,079"
,"0,165","0,135","0,053"
,"0,173","0,139","0,073"
,"0,168","0,130","0,039"
,"0,168","0,146","-0,083"
,"0,168","0,141","-0,132"
,"0,168","0,146","-0,097"
,"0,148","0,148","-0,072"
,"0,156","0,141","-0,048"
,"0,152","0,132","0,074"
,"0,164","0,137","0,059"
,"0,172","0,126","0,054"
,"0,156","0,120","0,040"
,"0,162","0,131","0,033"
,"0,166","0,123","0,103"
,"0,166","0,129","0,084"
,"0,166","0,122","0,088"
,"0,166","0,124","0,106"
,"0,159","0,133","0,103"
,"0,141","0,132","0,108"
,"0,137","0,140","0,110"
,"0,132","0,138","0,101"
,"0,122","0,140","0,103"
,"0,105","0,130","0,089"
,"0,101","0,109","0,080"
,"0,125","0,120","0,049"
,"0,150","0,127","0,080"
,"0,062","0,127","0,043"
,"0,136","0,125","0,064"
,"0,114","0,103","0,067"
,"0,109","0,117","0,056"
,"0,117","0,110","0,040"
,"0,077","0,120","0,050"
,"0,117","0,113","0,057"
,"0,105","0,089","0,065"
,"0,121","0,085","0,057"
,"0,113","0,061","0,063"
,"0,099","0,086","0,055"
,"0,119","0,084","0,065"
,"0,090","0,053","0,061"
,"0,074","0,005","0,062"
,"0,113","0,040","0,059"
,"0,085","0,033","0,053"
,"0,102","0,034","0,069"
,"0,102","0,009","0,040"
,"0,122","0,014","0,032"
,"0,090","0,000","0,037"
,"0,104","0,010","0,055"
,"0,097","0,016","0,032"
,"0,091","0,002","0,040"
,"0,079","0,002","0,038"
,"0,095","-0,005","0,035"
,"0,091","-0,005","0,007"
,"0,073","-0,011","0,006"
,"0,076","-0,015","0,022"
,"0,059","-0,043","0,026"
,"0,100","-0,015","0,029"
,"0,096","-0,028","0,012"
,"0,067","-0,029","0,003"
,"0,082","-0,035","0,012"
,"0,065","-0,043","0,014"
,"0,065","-0,071","0,011"
,"0,089","-0,072","0,000"
,"0,073","-0,049","-0,008"
,"0,052","-0,055","-0,020"
,"0,030","-0,157","-0,013"
,"0,006","-0,064","-0,015"
,"0,037","-0,071","-0,023"
,"0,036","-0,081","-0,014"
,"0,023","-0,085","-0,010"
,"0,023","-0,073","-0,018"
,"0,078","-0,082","-0,017"
,"0,033","-0,101","-0,009"
,"0,003","-0,085","-0,024"
,"0,047","-0,094","-0,021"
,"0,055","-0,094","-0,042"
,"0,033","-0,100","-0,043"
,"-0,008","-0,108","-0,046"
,"-0,019","-0,095","-0,062"
,"-0,015","-0,097","-0,074"
,"-0,005","-0,097","-0,078"
,"-0,017","-0,129","-0,073"
,"-0,001","-0,120","-0,075"
,"-0,047","-0,113","-0,067"
,"-0,039","-0,130","-0,082"
,"-0,023","-0,126","-0,152"
,"0,004","-0,121","-0,034"
,"0,004","-0,126","-0,058"
,"0,001","-0,130","-0,043"
,"-0,016","-0,123","-0,046"
,"-0,036","-0,143","-0,078"
,"-0,082","-0,138","-0,056"
,"-0,058","-0,128","-0,071"
,"-0,053","-0,135","-0,074"
,"-0,053","-0,129","-0,073"
,"-0,069","-0,133","-0,075"
,"-0,037","-0,126","-0,087"
,"-0,046","-0,141","-0,079"
,"-0,082","-0,162","-0,076"
,"-0,094","-0,175","-0,087"
,"-0,066","-0,160","-0,092"
,"-0,043","-0,155","-0,113"
,"-0,052","-0,154","-0,109"
,"-0,137","-0,158","-0,111"
,"-0,127","-0,173","-0,094"
,"-0,127","-0,162","-0,116"
,"-0,119","-0,160","-0,122"
,"-0,106","-0,170","-0,125"
,"-0,158","-0,203","-0,125"
,"-0,130","-0,138","-0,123"
,"-0,155","-0,132","-0,137"
,"-0,127","-0,135","-0,146"
,"-0,159","-0,129","-0,160"
,"-0,190","-0,154","-0,146"
,"-0,193","-0,131","-0,157"
,"-0,157","-0,136","-0,164"
,"-0,149","-0,117","-0,164"
,"-0,137","-0,122","-0,170"
,"-0,135","-0,138","-0,188"
,"-0,139","-0,110","-0,198"
,"-0,154","-0,116","-0,193"
,"-0,138","-0,121","-0,189"
,"-0,146","-0,132","-0,213"
,"-0,129","-0,136","-0,213"
,"-0,130","-0,156","-0,214"
,"-0,154","-0,169","-0,225"
,"-0,158","-0,187","-0,242"
,"-0,134","-0,173","-0,233"
,"-0,162","-0,176","-0,254"
,"-0,182","-0,213","-0,254"
,"-0,159","-0,214","-0,265"
,"-0,108","-0,171","-0,080"
,"-0,096","-0,173","-0,161"
,"-0,164","-0,192","-0,141"
,"-0,189","-0,192","-0,135"
,"-0,165","-0,177","-0,161"
,"-0,145","-0,190","-0,156"
,"-0,152","-0,182","-0,155"
,"-0,171","-0,182","-0,169"
,"-0,187","-0,194","-0,243"
,"-0,168","-0,221","-0,246"
,"-0,180","-0,192","-0,230"
,"-0,192","-0,232","-0,239"
,"-0,184","-0,192","-0,232"
,"-0,181","-0,198","-0,182"
,"-0,207","-0,199","-0,189"
,"-0,161","-0,209","-0,061"
,"-0,146","-0,187","-0,125"
,"-0,181","-0,190","-0,067"
,"-0,178","-0,221","-0,095"
,"-0,186","-0,213","-0,096"
,"-0,200","-0,205","-0,091"
,"-0,233","-0,242","-0,124"
,"-0,205","-0,204","-0,088"
,"-0,213","-0,234","-0,081"
,"-0,246","-0,292","-0,082"
,"-0,250","-0,212","-0,093"
,"-0,214","-0,200","-0,110"
,"-0,232","-0,209","-0,106"
,"-0,223","-0,230","-0,105"
,"-0,243","-0,239","-0,111"
,"-0,213","-0,207","0,024"
,"-0,173","-0,250","-0,044"
,"-0,221","-0,247","-0,025"
,"-0,217","-0,229","-0,043"
,"-0,213","-0,206","-0,051"
,"-0,198","-0,200","-0,047"
,"-0,188","-0,198","-0,052"
,"-0,225","-0,206","-0,048"
,"-0,249","-0,193","-0,227"
,"-0,233","-0,196","-0,216"
,"-0,233","-0,201","-0,219"
,"-0,262","-0,195","-0,228"
,"-0,218","-0,199","-0,218"
,"-0,244","-0,227","-0,264"
,"-0,276","-0,198","-0,271"
,"-0,219","-0,211","-0,375"
,"-0,179","-0,214","-0,405"
,"-0,215","-0,216","-0,399"
,"-0,193","-0,211","-0,375"
,"-0,182","-0,198","-0,369"
,"-0,202","-0,215","-0,376"
,"-0,212","-0,197","-0,401"
,"-0,261","-0,192","-0,386"
,"-0,265","-0,192","-0,270"
,"-0,233","-0,204","-0,267"
,"-0,246","-0,211","-0,263"
,"-0,266","-0,227","-0,282"
,"-0,222","-0,188","-0,271"
,"-0,274","-0,238","-0,125"
,"-0,246","-0,213","-0,125"
,"-0,202","-0,180","-0,068"
,"-0,163","-0,162","-0,094"
,"-0,175","-0,185","-0,085"
,"-0,215","-0,172","-0,082"
,"-0,179","-0,180","-0,092"
,"-0,187","-0,174","-0,091"
,"-0,193","-0,173","-0,091"
,"-0,178","-0,189","-0,108"
,"-0,204","-0,160","-0,107"
,"-0,208","-0,188","-0,129"
,"-0,237","-0,165","-0,120"
,"-0,217","-0,174","-0,125"
,"-0,214","-0,175","-0,140"
,"-0,220","-0,181","-0,124"
,"-0,224","-0,170","-0,124"
,"-0,166","-0,144","0,065"
,"-0,179","-0,156","0,038"
,"-0,171","-0,146","0,059"
,"-0,219","-0,155","0,032"
,"-0,199","-0,152","0,034"
,"-0,171","-0,145","0,014"
,"-0,167","-0,164","0,040"
,"-0,181","-0,146","0,039"
,"-0,182","-0,158","-0,053"
,"-0,204","-0,149","0,021"
,"-0,224","-0,142","0,022"
,"-0,237","-0,142","0,006"
,"-0,221","-0,176","0,000"
,"-0,237","-0,152","0,012"
,"-0,218","-0,148","0,016"
,"-0,177","-0,154","0,098"
,"-0,165","-0,154","0,020"
,"-0,145","-0,142","0,040"
,"-0,182","-0,117","0,042"
,"-0,219","-0,083","0,054"
,"-0,191","-0,119","0,036"
,"-0,183","-0,097","0,050"
,"-0,195","-0,095","0,041"
,"-0,201","-0,117","0,018"
,"-0,210","-0,103","0,024"
,"-0,198","-0,131","0,001"
,"-0,216","-0,125","-0,010"
,"-0,201","-0,104","-0,016"
,"-0,197","-0,119","0,035"
,"-0,205","-0,118","0,035"
,"-0,149","-0,133","0,068"
,"-0,185","-0,130","0,035"
,"-0,161","-0,104","0,047"
,"-0,153","-0,100","0,050"
,"-0,141","-0,129","0,069"
,"-0,158","-0,099","0,076"
,"-0,175","-0,105","0,072"
,"-0,144","-0,116","0,062"
,"-0,144","-0,060","0,083"
,"-0,144","-0,063","0,078"
,"-0,140","-0,055","0,079"
,"-0,153","-0,049","0,078"
,"-0,163","-0,103","0,086"
,"-0,153","-0,072","0,084"
,"-0,161","-0,062","0,083"
,"-0,100","-0,071","0,048"
,"-0,190","-0,054","0,083"
,"-0,177","-0,054","0,091"
,"-0,181","-0,099","0,094"
,"-0,149","-0,103","0,103"
,"-0,145","-0,116","0,098"
,"-0,141","-0,097","0,114"
,"-0,129","-0,091","0,107"
,"-0,155","-0,074","0,103"
,"-0,155","-0,092","0,113"
,"-0,151","-0,084","0,100"
,"-0,151","-0,075","0,100"
,"-0,140","-0,071","0,117"
,"-0,136","-0,077","0,111"
,"-0,145","-0,076","0,116"
,"-0,092","-0,065","0,086"
,"-0,132","-0,062","0,067"
,"-0,140","-0,067","0,062"
,"-0,181","-0,058","0,074"
,"-0,135","-0,047","0,094"
,"-0,139","-0,044","0,079"
,"-0,147","-0,046","0,063"
,"-0,157","-0,041","0,066"
,"-0,149","-0,038","0,084"
,"-0,157","-0,039","0,065"
,"-0,153","-0,040","0,042"
,"-0,154","-0,043","0,074"
,"-0,119","-0,079","0,064"
,"-0,152","-0,024","0,082"
,"-0,132","-0,077","0,071"
,"-0,076","-0,033","0,160"
,"-0,128","-0,040","0,125"
,"-0,082","-0,096","0,145"
,"-0,090","-0,103","0,123"
,"-0,078","-0,085","0,137"
,"-0,078","-0,089","0,134"
,"-0,108","-0,064","0,135"
,"-0,155","-0,125","0,140"
,"-0,139","-0,027","0,131"
,"-0,145","-0,027","0,111"
,"-0,149","-0,039","0,130"
,"-0,253","-0,050","0,129"
,"-0,293","-0,048","0,112"
,"-0,273","-0,069","0,120"
,"-0,265","-0,065","0,136"
,"-0,202","-0,067","0,128"
,"-0,152","-0,072","0,116"
,"-0,121","-0,068","0,119"
,"-0,097","-0,065","0,120"
,"-0,113","-0,079","0,080"
,"-0,121","-0,085","0,099"
,"-0,117","-0,061","0,105"
,"-0,119","-0,066","0,102"
,"-0,107","-0,071","0,097"
,"-0,111","-0,054","0,102"
,"-0,140","-0,061","0,106"
,"-0,117","-0,060","0,092"
,"-0,203","-0,058","0,092"
,"-0,135","-0,081","0,111"
,"-0,141","-0,060","0,112"
,"-0,086","-0,070","0,169"
,"-0,138","-0,056","0,141"
,"-0,094","-0,081","0,185"
,"-0,102","-0,064","0,143"
,"-0,107","-0,058","0,140"
,"-0,123","-0,056","0,147"
,"-0,115","-0,067","0,128"
,"-0,115","-0,060","0,017"
,"-0,111","-0,069","0,115"
,"-0,127","-0,060","0,115"
,"-0,195","-0,117","0,118"
,"-0,107","-0,056","0,128"
,"-0,085","-0,056","0,124"
,"-0,081","-0,056","0,160"
,"-0,081","-0,056","0,163"
,"-0,062","-0,056","0,179"
,"-0,106","-0,056","0,134"
,"-0,059","-0,056","0,137"
,"-0,039","-0,054","0,143"
,"-0,052","-0,054","0,156"
,"-0,072","-0,054","0,155"
,"-0,056","-0,045","0,154"
,"-0,077","-0,045","0,143"
,"-0,073","-0,047","0,023"
,"-0,078","-0,047","0,169"
,"-0,078","-0,047","0,169"
,"-0,078","-0,047","0,167"
,"-0,011","-0,047","0,147"
,"-0,011","-0,029","0,177"
,"-0,011","-0,029","0,176"
,"0,036","-0,020","0,196"
,"0,036","-0,020","0,085"
,"0,006","-0,020","0,210"
,"0,006","-0,038","0,197"
,"0,006","-0,038","0,200"
,"-0,004","-0,038","0,193"
,"-0,017","-0,038","0,194"
,"-0,092","-0,038","0,200"
,"-0,096","-0,038","0,193"
,"-0,084","-0,038","0,194"
,"-0,084","-0,038","0,196"
,"-0,084","-0,038","0,183"
,"0,021","-0,038","0,194"
,"0,013","-0,038","0,198"
,"0,021","-0,038","0,199"
,"0,059","-0,038","0,206"
,"0,059","-0,038","0,215"
,"0,033","-0,038","0,194"
,"0,024","-0,038","0,205"
,"0,012","-0,038","0,208"
,"0,020","-0,038","0,202"
,"0,012","-0,038","0,203"
,"0,018","-0,038","0,201"
,"0,018","-0,007","0,203"
,"0,018","-0,007","0,201"
,"0,018","-0,007","0,143"
,"-0,378","-0,007","0,208"
,"-0,005","-0,007","0,211"
,"0,011","-0,026","0,205"
,"0,003","-0,026","0,203"
,"0,029","-0,026","0,201"
,"0,045","-0,026","0,199"
,"0,031","-0,026","0,199"
,"-0,049","-0,005","0,145"
,"0,023","-0,005","0,208"
,"0,043","-0,005","0,213"
,"0,031","-0,005","0,207"
,"-0,058","-0,005","0,195"
,"-0,071","-0,020","0,202"
,"-0,075","-0,020","0,210"
,"-0,067","-0,020","0,201"
,"-0,147","-0,020","0,142"
,"-0,024","-0,020","0,206"
,"-0,016","-0,020","0,211"
,"-0,028","-0,020","0,196"
,"-0,034","-0,020","0,201"
,"-0,018","-0,020","0,203"
,"-0,001","-0,020","0,207"
,"-0,021","0,004","0,207"
,"-0,101","0,004","0,145"
,"-0,013","0,004","0,205"
,"-0,009","0,004","0,205"
,"-0,062","0,004","0,206"
,"-0,054","-0,032","0,204"
,"-0,054","-0,032","0,200"
,"-0,046","-0,032","0,208"
,"-0,054","-0,032","0,198"
,"-0,115","-0,032","0,140"
,"-0,040","-0,015","0,198"
,"-0,044","-0,015","0,212"
,"-0,043","-0,015","0,204"
,"-0,031","-0,015","0,209"
,"-0,030","-0,015","0,198"
,"-0,026","-0,011","0,216"
,"-0,046","-0,011","0,198"
,"-0,106","-0,011","0,150"
,"-0,034","-0,011","0,204"
,"-0,038","-0,011","0,214"
,"-0,046","-0,030","0,200"
,"-0,050","-0,030","0,205"
,"-0,054","-0,030","0,197"
,"-0,050","-0,030","0,208"
,"-0,025","-0,030","0,187"
,"-0,114","-0,008","0,144"
,"-0,042","-0,008","0,208"
,"-0,025","-0,008","0,211"
,"-0,029","-0,008","0,210"
,"-0,036","-0,008","0,202"
,"-0,060","-0,023","0,200"
,"-0,040","-0,023","0,203"
,"-0,048","-0,023","0,200"
,"-0,128","-0,023","0,142"
,"-0,040","-0,023","0,205"
,"-0,028","-0,026","0,214"
,"-0,044","-0,026","0,200"
,"-0,024","-0,026","0,196"
,"-0,028","-0,026","0,200"
,"-0,026","-0,026","0,206"
,"-0,036","-0,002","0,211"
,"-0,052","-0,002","0,144"
,"-0,026","-0,002","0,205"
,"-0,022","-0,002","0,203"
,"-0,217","-0,002","0,211"
,"-0,493","-0,038","0,196"
,"-0,153","-0,038","0,198"
,"-2,641","-0,038","0,207"
,"-0,201","-0,264","0,197"
,"-1,590","-0,057","0,139"
,"-0,194","-0,046","0,195"
,"-0,030","-0,057","0,212"
,"-0,042","-0,058","0,203"
,"-0,034","-0,059","0,202"
,"-0,062","-0,047","0,203"
,"-0,058","-0,074","0,211"
,"-0,058","-0,135","0,187"
,"-0,130","-0,053","0,142"
